student_key,student_id,student_name,date_of_birth,grade,contact_number,student_rank
4611,S04611,cody waller,2015-01-19,Grade 1,+16487257399,6
4650,S04650,alex matthews,2015-05-20,Grade 5,n/a,6
4272,S04272,james wiggins,2006-10-23,Grade 4,+12805206751,6
4071,S04071,johnny thompson,2018-07-26,Grade 1,+14888203116,6
3936,S03936,lindsey gonzalez,2018-06-06,Grade 2,+18017032247,6
3949,S03949,emily washington,2010-08-08,Grade 5,+12475259607,6
3277,S03277,ana wong,2011-09-07,Grade 3,+19402122331,6
3300,S03300,ryan coleman,2012-09-24,Grade 4,+13573825956,6
3320,S03320,jessica curtis,2015-09-29,Grade 4,+18393899775,6
3431,S03431,sean wood,2015-04-16,Grade 1,+18804180204,6
6112,S06112,kristine newman,2017-12-15,Grade 5,+17444937599,6
6303,S06303,brenda tate,2015-08-06,Grade 5,+19423746446,6
5421,S05421,karen skinner,2013-10-20,Grade 3,+13353449359,6
5694,S05694,maria lopez,2014-11-14,Grade 2,+17202919494,6
5759,S05759,stephanie park,2015-12-23,Grade 3,+16809041542,6
7977,S07977,dawn marquez,2010-09-08,Grade 5,+12108079647,6
8257,S08257,william hobbs,2015-12-21,Grade 4,+19584828865,6
8033,S08033,carla lopez,2012-08-28,Grade 4,+15182886073,6
7369,S07369,zachary conner,2007-01-10,Grade 2,+13863357674,6
7435,S07435,melissa turner,2008-02-20,Grade 2,+17522000169,6
6406,S06406,michelle hutchinson,2011-11-13,Grade 5,+15404160521,6
6683,S06683,hannah williams,2017-05-08,Grade 3,+17913614507,6
6726,S06726,erin petersen,2016-04-17,Grade 2,+12545302928,6
9133,S09133,julie taylor,2010-11-04,Grade 3,+15049452652,6
9424,S09424,robert arias,2018-04-29,Grade 2,+17626241331,6
9350,S09350,charles johnson,2017-09-10,Grade 2,+13758765673,6
11761,S11761,tony moreno,2009-12-24,Grade 2,+16434738788,6
11998,S11998,angela may,2018-05-31,Grade 3,+14779341549,6
9673,S09673,ashley clarke,2017-08-08,Grade 1,+14137679223,6
9940,S09940,katie castro,2016-04-15,Grade 1,+13164763258,6
9856,S09856,andres durham,2010-10-02,Grade 4,+17033120716,6
10126,S10126,kara powers,2008-11-10,Grade 1,+14044743798,6
10056,S10056,kyle gates,2018-10-18,Grade 1,+14999739545,6
10088,S10088,joseph bishop,2012-07-16,Grade 4,+18006837283,6
11570,S11570,william murphy,2011-06-27,Grade 5,+15304831032,6
11573,S11573,gary ellison,2010-09-24,Grade 2,+13888348206,6
11309,S11309,michael thompson,2016-06-28,Grade 5,+14003221822,6
3055,S03055,tara buchanan,2006-10-23,Grade 4,+19622683303,7
4977,S04977,steven baker,2017-10-03,Grade 3,+13588131440,7
11293,S11293,nicole smith,2016-11-24,Grade 5,+19158778793,7
10998,S10998,lisa bradford,2017-12-17,Grade 3,+19969361196,7
10103,S10103,jessica vazquez,2012-03-24,Grade 5,+19449668258,7
10528,S10528,jason jones,2014-09-03,Grade 2,+14475694688,7
3026,S03026,jerome wallace,2013-03-01,Grade 1,+12959583663,8
2844,S02844,olivia tran,2014-02-20,Grade 2,+14612115889,8
2624,S02624,ashley weber,2014-07-22,Grade 3,+13873107244,8
2683,S02683,lisa saunders,2009-10-20,Grade 4,+12386526438,8
2357,S02357,amanda thomas,2006-05-18,Grade 4,+19488850756,8
1304,S01304,laurie booker,2012-10-10,Grade 3,+14266719582,8
1898,S01898,diane bryant,2008-09-16,Grade 5,+16507782859,8
2076,S02076,mary smith,2013-11-19,Grade 3,+18714586710,8
2031,S02031,brian soto,2007-04-06,Grade 1,+19693207619,8
596,S00596,robert evans,2011-08-28,Grade 4,n/a,8
649,S00649,ryan owen,2006-06-13,Grade 2,+19163911924,8
106,S00106,matthew chandler,2006-12-29,Grade 1,+17794981573,8
520,S00520,paul bowers,2016-03-14,Grade 5,+17945107260,8
489,S00489,charles lopez,2017-05-16,Grade 5,+15004938413,8
4925,S04925,megan kemp,2011-07-25,Grade 2,+18075142220,8
4842,S04842,sophia andersen,2006-12-14,Grade 4,n/a,8
4758,S04758,paula martin,2009-03-20,Grade 4,+14856328797,8
4548,S04548,angela harris,2008-01-05,Grade 3,+13489205997,8
3315,S03315,peggy brown,2013-06-21,Grade 2,+16862858254,8
3653,S03653,laura sanchez,2011-04-11,Grade 3,+13826954234,8
3579,S03579,jeremy greene,2015-01-24,Grade 3,+19872663725,8
4026,S04026,jacqueline herrera,2014-08-05,Grade 3,+15558696984,8
4191,S04191,jennifer lee,2018-11-09,Grade 3,+14895436499,8
5690,S05690,nathan kane,2013-05-25,Grade 3,+18454069189,8
5668,S05668,daniel marshall,2007-07-16,Grade 1,+14005022798,8
5503,S05503,aaron rivera,2017-10-08,Grade 3,+17469388535,8
5539,S05539,bryan roy,2006-08-09,Grade 2,+12054320877,8
6295,S06295,emily barker,2016-04-15,Grade 1,+17009700764,8
6213,S06213,carol fields,2015-05-25,Grade 3,+19215011686,8
8793,S08793,kayla hall,2015-11-10,Grade 3,+18524951250,8
7167,S07167,william coffey,2006-03-14,Grade 4,+12739264349,8
7300,S07300,kevin martinez,2010-11-26,Grade 1,+12355609967,8
6965,S06965,heather bailey,2010-03-01,Grade 4,+15242711956,8
7132,S07132,miss amanda sanders,2007-06-05,Grade 2,+13747822663,8
8027,S08027,dustin alexander,2011-01-05,Grade 1,+14308659010,8
8260,S08260,patrick rodriguez,2018-12-21,Grade 5,+15477940338,8
8242,S08242,david fisher,2008-11-08,Grade 1,+18826967892,8
8169,S08169,laurie mullen,2013-07-22,Grade 2,+19803791476,8
10331,S10331,jennifer bradley,2012-11-20,Grade 4,+14786413281,8
10376,S10376,daniel shepherd,2016-12-27,Grade 1,+13483359615,8
10413,S10413,amber jackson,2006-07-07,Grade 2,+17058043213,8
10424,S10424,thomas clark,2007-08-23,Grade 1,+17203124228,8
11009,S11009,gary lucas,2012-08-11,Grade 3,+17222124445,8
10920,S10920,elizabeth gonzalez,2014-09-23,Grade 4,+16903056426,8
11132,S11132,peggy daniels,2011-04-05,Grade 1,+18025091322,8
10692,S10692,renee brown,2015-05-06,Grade 5,+14142526505,8
11220,S11220,tanya scott,2013-06-01,Grade 1,+17894562693,8
11587,S11587,aaron smith,2014-10-01,Grade 3,+14147063892,8
11943,S11943,jonathan martin,2018-08-19,Grade 3,+13798843955,8
6119,S06119,william steele,2008-05-25,Grade 2,+18297829161,9
790,S00790,thomas johnson,2017-06-01,Grade 2,+19882771192,10
1338,S01338,alexis sullivan,2007-08-26,Grade 3,+13865752500,10
2903,S02903,sara hill,2009-01-04,Grade 5,+15075120589,10
4915,S04915,anna rodriguez,2009-08-15,Grade 5,+14873234120,10
7030,S07030,james marshall,2011-08-21,Grade 4,+12953208041,10
9029,S09029,kenneth sims,2011-08-25,Grade 4,+19152537239,10
9822,S09822,peter parrish,2008-08-11,Grade 2,+19645228892,10
6565,S06565,stephen pitts,2013-12-17,Grade 3,n/a,11
2851,S02851,brenda james,2010-06-17,Grade 5,+19388561231,12
2984,S02984,michele anderson,2016-08-17,Grade 3,+19416479107,12
2295,S02295,rachel todd,2008-10-02,Grade 3,+12346938549,12
2329,S02329,emily gibson,2017-11-05,Grade 2,+15314635222,12
2549,S02549,matthew bryant,2007-02-27,Grade 5,+19967060500,12
1261,S01261,ryan meza,2007-01-26,Grade 2,+16897655133,12
1620,S01620,rodney miller,2015-03-04,Grade 2,+15083952223,12
2041,S02041,james martin,2011-02-28,Grade 4,+16074901893,12
2127,S02127,seth arellano,2011-09-22,Grade 1,n/a,12
2251,S02251,mary murray,2008-05-18,Grade 4,n/a,12
2224,S02224,kyle york,2012-09-13,Grade 5,+16034584948,12
1984,S01984,albert townsend,2009-03-21,Grade 4,+15574492480,12
856,S00856,william johnston,2010-08-25,Grade 5,+14682200430,12
1121,S01121,daniel shannon,2010-11-21,Grade 3,+13585234054,12
470,S00470,michael gomez,2013-04-28,Grade 5,+13414937497,12
261,S00261,kevin smith,2017-03-30,Grade 1,+19695000112,12
4989,S04989,carly smith,2015-05-13,Grade 1,+14128799267,12
5252,S05252,cynthia jackson,2015-08-22,Grade 2,+15055955079,12
5178,S05178,jonathan turner,2006-03-20,Grade 3,+15852175592,12
4745,S04745,elizabeth wright,2006-12-21,Grade 1,n/a,12
4747,S04747,jonathan martin,2010-10-21,Grade 3,+18453849977,12
4627,S04627,christopher alexander,2010-09-24,Grade 5,+13265100004,12
4109,S04109,melanie ellis,2012-01-18,Grade 3,n/a,12
3254,S03254,andrew bailey,2009-06-25,Grade 1,+12744115643,12
6248,S06248,rachel wheeler,2018-01-23,Grade 5,+16904388479,12
6256,S06256,chad howard,2014-02-27,Grade 4,+19456474211,12
5712,S05712,christian edwards,2009-08-01,Grade 3,+15676318817,12
6664,S06664,steven rose,2009-04-02,Grade 2,+14689223528,12
6822,S06822,erin ingram,2013-07-16,Grade 3,+12186075857,12
6843,S06843,rebecca flynn,2019-01-13,Grade 2,+15584196040,12
7024,S07024,andrea davies,2012-01-16,Grade 1,+13758754654,12
7073,S07073,jonathan hines,2016-01-23,Grade 5,+17957492865,12
7260,S07260,sarah morris,2015-05-11,Grade 3,+15452964965,12
8087,S08087,caitlin burgess,2006-12-22,Grade 5,+15773182432,12
8135,S08135,nicholas watson,2017-07-09,Grade 5,+13663471373,12
8389,S08389,joshua fischer,2011-02-14,Grade 4,+19764955057,12
8406,S08406,tracy murphy,2012-08-09,Grade 3,+13482498004,12
8501,S08501,sheryl romero,2016-12-23,Grade 5,+15632421352,12
7856,S07856,sandra blanchard,2015-01-20,Grade 3,+17169906784,12
7555,S07555,bailey ward,2014-09-23,Grade 2,+12189857402,12
9040,S09040,heather thompson,2011-07-24,Grade 2,+16087030475,12
8669,S08669,jack henderson,2013-07-11,Grade 4,+12296750636,12
9878,S09878,jessica murphy,2018-12-05,Grade 3,+17338438066,12
9740,S09740,hector benjamin,2017-09-15,Grade 2,+14193781997,12
9601,S09601,angelica dodson,2009-11-14,Grade 1,+13549287180,12
10416,S10416,daniel elliott,2009-03-18,Grade 4,+13883822867,12
10511,S10511,jessica bell,2008-10-19,Grade 4,+17829336025,12
11336,S11336,lauren king,2010-11-07,Grade 4,+14594908580,12
10740,S10740,john bryant,2011-06-04,Grade 4,+17557261793,12
11939,S11939,david dean,2009-12-30,Grade 2,+14757026724,12
11983,S11983,colleen santos,2016-12-01,Grade 4,+13412187981,12
12118,S12118,tracey turner,2012-08-30,Grade 2,+13903945213,12
1810,S01810,brandi hernandez,2016-11-20,Grade 3,+16738239052,13
704,S00704,cheyenne ortiz,2009-01-10,Grade 2,+16699368688,14
734,S00734,emily horn,2018-02-28,Grade 4,+16749408003,15
2029,S02029,benjamin potter,2008-07-02,Grade 2,+18789345815,15
3369,S03369,christine glover,2015-07-02,Grade 5,+18167593544,15
3508,S03508,mark galloway,2007-05-02,Grade 2,+12907497541,15
4022,S04022,amanda james,2012-04-08,Grade 3,+13117573198,15
9447,S09447,candace freeman,2008-09-12,Grade 4,+16813641155,15
8286,S08286,adriana hammond,2007-05-23,Grade 5,+17498529492,15
7215,S07215,nicole norton,2007-08-19,Grade 3,+18695069457,15
10488,S10488,kelsey conley,2012-09-11,Grade 5,+12533872338,15
3692,S03692,lorraine rodriguez,2011-06-04,Grade 4,+18424253249,16
1544,S01544,peter ramirez,2012-03-05,Grade 4,+15883673788,17
1268,S01268,anthony barrett,2015-05-04,Grade 2,+17913539421,17
820,S00820,nichole robinson,2008-05-24,Grade 5,+15015615646,17
73,S00073,christopher salinas,2011-01-04,Grade 5,+13455731319,17
2803,S02803,tara ho,2011-01-22,Grade 1,+13525296508,17
2724,S02724,caleb little,2008-01-06,Grade 4,+16512072344,17
2901,S02901,thomas foster,2009-10-26,Grade 4,+19048548479,17
3222,S03222,tracy hobbs,2007-10-30,Grade 2,+16053116110,17
4641,S04641,julia hayes,2011-04-28,Grade 3,+13395675310,17
4818,S04818,deborah mayer,2018-05-03,Grade 5,+14227172949,17
4544,S04544,mark phillips,2011-10-14,Grade 5,+14882479860,17
5006,S05006,ricky tran,2007-12-22,Grade 2,+18223299342,17
4901,S04901,elizabeth jordan,2013-02-26,Grade 4,+15782633013,17
5502,S05502,mary wilson,2018-10-14,Grade 4,+18809789975,17
5726,S05726,larry lee,2010-12-18,Grade 2,+19119651976,17
5787,S05787,mr. cameron browning,2010-01-29,Grade 1,+13064058793,17
5854,S05854,matthew moses,2013-10-27,Grade 1,+18144448533,17
6968,S06968,darrell morton,2009-10-26,Grade 1,+13006536970,17
6904,S06904,mark lane,2016-07-06,Grade 1,+15633248721,17
6928,S06928,jason grimes,2019-01-14,Grade 4,+19792871359,17
6792,S06792,diane medina,2007-03-07,Grade 5,+15875977751,17
6803,S06803,nathan sanchez,2012-02-16,Grade 5,+13517034261,17
6730,S06730,carl garrett,2010-10-24,Grade 3,+13869559772,17
6636,S06636,kaitlyn good,2013-09-25,Grade 3,+17746820429,17
8244,S08244,christine arroyo,2008-02-07,Grade 2,+13095860666,17
8391,S08391,anne duffy,2010-04-04,Grade 2,+14972664779,17
8421,S08421,jessica haynes,2006-06-26,Grade 1,+19198991960,17
7574,S07574,crystal smith,2011-07-19,Grade 2,+16266634427,17
7954,S07954,leroy harris,2017-03-23,Grade 1,+16234510807,17
9301,S09301,jose weaver,2010-05-09,Grade 3,n/a,17
9221,S09221,robert brooks,2009-02-01,Grade 4,+13698458532,17
9222,S09222,darren daniel,2006-09-24,Grade 5,+17335223938,17
9224,S09224,rachel hartman,2010-02-12,Grade 2,+12645384330,17
8848,S08848,john peterson,2006-12-28,Grade 5,+13633033402,17
9089,S09089,mario miller jr.,2012-12-06,Grade 1,+16536468792,17
10357,S10357,kenneth perkins,2017-02-15,Grade 3,+18857357840,17
10134,S10134,ashley lee,2011-04-24,Grade 2,+15507461607,17
9565,S09565,richard martinez,2012-10-10,Grade 5,+17233062562,17
9526,S09526,sydney terrell md,2017-11-18,Grade 5,+15548259189,17
9631,S09631,crystal hernandez,2008-10-08,Grade 5,+12558928378,17
9851,S09851,timothy mcdonald,2010-01-04,Grade 5,+14225828194,17
10609,S10609,samantha young,2010-04-30,Grade 3,+16178661144,17
10952,S10952,sharon adams,2006-06-20,Grade 4,+19824714749,17
11541,S11541,colleen hunt,2017-05-09,Grade 4,+18149317763,17
11955,S11955,angela solis,2010-08-30,Grade 3,+16208038325,17
11942,S11942,mr. bryan foley,2010-07-22,Grade 2,+19488440373,17
11816,S11816,amber williams,2009-07-27,Grade 1,+18794660052,17
5427,S05427,darren kelley,2007-03-04,Grade 2,+13626812159,18
2733,S02733,jeremy james,2017-04-01,Grade 1,+16112227454,19
2365,S02365,mary hebert,2015-08-24,Grade 5,n/a,19
797,S00797,connor singh,2014-08-12,Grade 3,+14134809133,19
5248,S05248,michael case,2006-03-13,Grade 3,+17177780904,19
7614,S07614,joshua avila,2015-10-27,Grade 3,+15467958060,19
11361,S11361,michael keller,2007-07-28,Grade 4,n/a,19
11221,S11221,renee mclaughlin,2007-12-27,Grade 3,+15223820024,19
9598,S09598,alejandro dawson,2010-05-16,Grade 5,+17958636134,19
5946,S05946,jessica lewis,2012-12-08,Grade 3,+18322456451,20
7649,S07649,amy king,2014-08-23,Grade 3,+13206928224,20
6827,S06827,james robertson,2006-08-26,Grade 4,+13552115338,20
159,S00159,erika johnson,2013-03-19,Grade 1,+19596835469,21
666,S00666,kristin allen,2013-02-28,Grade 4,+15523223060,22
885,S00885,robert wilson,2006-03-19,Grade 2,+12714573743,22
1328,S01328,darlene garcia,2007-11-24,Grade 1,+19586755869,22
2007,S02007,alexander crosby phd,2010-01-15,Grade 5,n/a,22
2152,S02152,george clark,2007-04-27,Grade 4,+12629050602,22
1966,S01966,jamie davis,2018-10-12,Grade 5,+16908722815,22
2432,S02432,amber mullins,2014-12-22,Grade 1,+12933085211,22
2482,S02482,robert hunter,2007-02-25,Grade 4,+19897221499,22
2818,S02818,brooke hernandez,2017-03-27,Grade 3,+13256150304,22
2631,S02631,edward smith,2007-08-19,Grade 4,+12018571948,22
2866,S02866,crystal rodriguez,2008-08-28,Grade 3,+19599040325,22
2939,S02939,emily brown,2013-10-03,Grade 5,+14153047672,22
3035,S03035,michelle stone,2017-10-10,Grade 2,+14416171291,22
3151,S03151,sally yang,2009-11-09,Grade 1,+14644606970,22
5829,S05829,jason gallegos,2014-05-10,Grade 5,n/a,22
5775,S05775,elizabeth miller,2016-03-09,Grade 4,+15793099551,22
5569,S05569,timothy wright,2010-06-19,Grade 3,+14117148479,22
5308,S05308,richard callahan,2018-01-13,Grade 4,+18307517060,22
4871,S04871,mark dean,2016-11-22,Grade 1,+15263554965,22
4993,S04993,richard fitzgerald,2012-03-02,Grade 5,+13034569132,22
4494,S04494,richard mueller,2011-01-19,Grade 1,+14545968639,22
4271,S04271,jeffrey houston,2012-09-04,Grade 2,+17933783276,22
4637,S04637,david carey,2015-05-24,Grade 5,+13483971341,22
4631,S04631,kelly smith,2010-08-22,Grade 4,+18006948847,22
3293,S03293,karina higgins,2014-09-19,Grade 4,+15325152948,22
4114,S04114,jessica aguilar,2018-07-11,Grade 3,+17017570298,22
4263,S04263,kelly moore,2011-07-08,Grade 4,+13047450571,22
3945,S03945,cynthia hawkins,2019-02-19,Grade 4,+12019139786,22
6765,S06765,olivia aguilar,2009-06-18,Grade 5,+12538100715,22
7144,S07144,adam allison,2016-07-29,Grade 5,+19874578733,22
7651,S07651,cassie melendez,2011-02-15,Grade 2,+15465401979,22
7938,S07938,kristin nicholson,2014-01-01,Grade 4,+16429923747,22
8547,S08547,christine wheeler,2012-11-23,Grade 2,+12357661468,22
8190,S08190,jacob stanley,2016-05-05,Grade 1,+13523679419,22
8046,S08046,dr. kelly howell,2017-11-19,Grade 4,+13348479466,22
8738,S08738,candace chen,2010-04-02,Grade 2,+17083656831,22
9415,S09415,angela abbott,2009-11-05,Grade 5,+14992356305,22
9751,S09751,robert nguyen,2013-09-17,Grade 3,+19014751273,22
11317,S11317,heather hunt,2007-10-27,Grade 1,+15503166758,22
11663,S11663,michelle rhodes,2012-11-14,Grade 5,+19556426311,22
10664,S10664,charles james,2007-09-28,Grade 4,+16174821672,22
11804,S11804,alexander smith,2014-06-18,Grade 4,+16932552470,22
11951,S11951,mr. robert jackson md,2010-06-08,Grade 2,+16038733301,22
12081,S12081,brian evans,2015-05-30,Grade 3,+13304048981,22
158,S00158,jordan compton,2017-08-18,Grade 3,+16658116217,23
165,S00165,christina parker,2008-04-11,Grade 4,+19775233238,24
193,S00193,molly davis,2014-08-05,Grade 4,+15124777785,24
614,S00614,elaine cardenas,2010-10-24,Grade 2,+13154779780,24
1240,S01240,casey ingram,2006-07-04,Grade 5,+14162344098,24
2620,S02620,patrick hernandez,2008-10-06,Grade 2,+14007503332,24
3869,S03869,cynthia phillips,2018-11-14,Grade 4,+17329370385,24
4206,S04206,kelly bell,2012-02-04,Grade 3,+13204196226,24
3659,S03659,patrick horton,2017-07-13,Grade 5,+15272546011,24
5344,S05344,ashley johnson,2018-06-04,Grade 1,+17365355309,24
6299,S06299,carolyn mendoza,2019-01-22,Grade 5,+15598680568,24
10808,S10808,alec rocha,2015-01-31,Grade 3,+16728592701,24
10864,S10864,erica lawrence,2014-03-31,Grade 1,+19982539109,24
11325,S11325,kenneth richardson dds,2013-12-07,Grade 4,+12816416801,24
1280,S01280,debbie hood,2017-03-04,Grade 5,+17402300344,25
11441,S11441,nathan lewis,2017-12-01,Grade 2,+16707775766,26
1252,S01252,jimmy santana,2013-05-01,Grade 2,+18495546982,27
1573,S01573,john carter,2013-09-13,Grade 1,+17654920549,27
803,S00803,daniel smith,2015-08-21,Grade 3,+16285387856,27
845,S00845,gregory christensen,2014-04-12,Grade 5,+18967374090,27
1031,S01031,kayla miller,2017-08-17,Grade 2,+15394212611,27
15,S00015,alexandria wallace,2006-06-21,Grade 2,+12832596520,27
328,S00328,janice carter,2013-12-15,Grade 3,+13748131643,27
